# group,ru,en,japanese,romaji,script
lesson6,есть,to eat,たべます,tabemasu,h
lesson6,пить,to drink,のみます,nomimasu,h
lesson6,курить сигареты,to smoke,たばこをすいます,tabako o suimasu,h
lesson6,смотреть / видеть,to watch / see,みます,mimasu,h
lesson6,слушать / слышать,to listen / hear,ききます,kikimasu,h
lesson6,читать,to read,よみます,yomimasu,h
lesson6,писать / рисовать,to write / draw,かきます,kakimasu,h
lesson6,покупать,to buy,かいます,kaimasu,h
lesson6,делать,to do,します,shimasu,h
lesson6,снимать фотографию,to take a photo,しゃしんをとります,shashin o torimasu,h
lesson6,встречать друга,to meet a friend,ともだちにあいます,tomodachi ni aimasu,h
lesson6,еда / вареный рис,meal / cooked rice,ごはん,gohan,h
lesson6,завтрак,breakfast,あさごはん,asagohan,h
lesson6,обед,lunch,ひるごはん,hirugohan,h
lesson6,ужин,dinner,よるごはん,yorugohan,h
lesson6,яйцо,egg,たまご,tamago,h
lesson6,хлеб,bread,パン,pan,k
lesson6,мясо,meat,にく,niku,h
lesson6,рыба,fish,さかな,sakana,h
lesson6,овощи,vegetables,やさい,yasai,h
lesson6,фрукты,fruit,くだもの,kudamono,h
lesson6,вода,water,みず,mizu,h
lesson6,чай / зеленый чай,tea / green tea,おちゃ,ocha,h
lesson6,чёрный чай,black tea,こうちゃ,koucha,h
lesson6,молоко,milk,ぎゅうにゅう,gyuunyuu,h
lesson6,сок,juice,ジュース,juusu,k
lesson6,пиво,beer,ビール,biiru,k
lesson6,алкоголь,alcohol / sake,おさけ,osake,h
lesson6,табак / сигареты,tobacco / cigarettes,たばこ,tabako,h
lesson6,письмо,letter,てがみ,tegami,h
lesson6,доклад / отчёт,report,レポート,repooto,k
lesson6,фотография,photo,しゃしん,shashin,h
lesson6,видео,video,ビデオ,bideo,k
lesson6,магазин,shop,みせ,mise,h
lesson6,сад,garden,にわ,niwa,h
lesson6,домашнее задание,homework,しゅくだい,shukudai,h
lesson6,теннис,tennis,テニス,tenisu,k
lesson6,футбол,football / soccer,サッカー,sakkaa,k
lesson6,любование сакурой,cherry blossom viewing,おはなみ,ohanami,h
lesson6,что,what,なに,nani,h
lesson6,вместе,together,いっしょに,issho ni,h
lesson6,немного,a little,ちょっと,chotto,h
lesson6,всегда,always,いつも,itsumo,h
lesson6,иногда,sometimes,ときどき,tokidoki,h
lesson6,после / далее / затем,after that,それから,sorekara,h
